pages,title,url,domain,type
21,ופל בלגי בסגנון סמור'ז,https://www.shtrudel.net/smoreswaffel,www.shtrudel.net,web
21,קרמשניט ביס,https://www.shtrudel.net/bis,www.shtrudel.net,web
21,קרמשניט עם קרם קוקוס,https://foody.co.il/foody_recipe/%D7%94%D7%A7%D7%95%D7%A7%D7%95%D7%A1-%D7%A2%D7%95%D7%A9%D7%94-%D7%96%D7%90%D7%AA-%D7%91%D7%A9%D7%A0%D7%99%D7%AA-%D7%A7%D7%A8%D7%9E%D7%A9%D7%A0%D7%99%D7%98-%D7%A2%D7%9D-%D7%A7%D7%A8%D7%9D-%D7%A7/?utm_source=post&utm_id=faceb,foody.co.il,web
21,סינמון רול,https://www.shtrudel.net/cinnaroll,www.shtrudel.net,web
21,סינבון,https://www.shtrudel.net/bon,www.shtrudel.net,web
21,רוגלך,https://www.shtrudel.net/roga,www.shtrudel.net,web
21,מאפה האלים,https://www.instagram.com/reel/DBdIST0o88-/?igsh=ZWticmJnemhyc25i,www.instagram.com,social
22,לחמניות שוודיות ממולאות בפטל ופיסטוק,https://www.hashulchan.co.il/%D7%9E%D7%AA%D7%9B%D7%95%D7%A0%D7%99%D7%9D/%D7%9C%D7%97%D7%9E%D7%A0%D7%99%D7%95%D7%AA-%D7%A9%D7%91%D7%93%D7%99%D7%95%D7%AA-%D7%91%D7%9E%D7%99%D7%9C%D7%95%D7%99-%D7%A4%D7%99%D7%A1%D7%98%D7%95%D7%A7-%D7%95%D7%A4%D7%98%D7%9C/,www.hashulchan.co.il,web
22,שבלולי שמרים עם קינמון והל מהמטבח השוודי,https://foody.co.il/foody_recipe/%D7%A9%D7%91%D7%9C%D7%95%D7%9C%D7%99%D7%9D-%D7%A9%D7%95%D7%95%D7%93%D7%99%D7%99%D7%9D-%D7%A9%D7%9C-%D7%A7%D7%99%D7%A0%D7%9E%D7%95%D7%9F-%D7%95%D7%94%D7%9C-%D7%9E%D7%A7%D7%9E%D7%97-%D7%9B%D7%95%D7%A1/,foody.co.il,web
22,קיורטוש קרם וניל ואוכמניות,https://foody.co.il/foody_recipe/%D7%A7%D7%99%D7%95%D7%A8%D7%98%D7%95%D7%A9-%D7%A7%D7%A8%D7%9D-%D7%95%D7%A0%D7%99%D7%9C-%D7%95%D7%90%D7%95%D7%9B%D7%9E%D7%A0%D7%99%D7%95%D7%AA/,foody.co.il,web
